               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.050613,            0.026078,           0.0030152,             0.23852,             0.24272,             0.13308,             0.03252,            0.072806,            0.014803,           0.0078305,           0.0073517,           0.0073517,           0.0073517
                 109,            0.052182,            0.027106,             0.00372,             0.23053,             0.23285,             0.13083,             0.03021,            0.082745,            0.014826,            0.016237,            0.007327,            0.007327,            0.007327
                 110,            0.052454,             0.02912,           0.0029218,             0.31394,             0.20969,             0.13176,            0.033657,            0.076612,            0.016104,             0.01221,           0.0073023,           0.0073023,           0.0073023
                 111,            0.051741,            0.028744,           0.0034472,             0.22087,             0.25784,             0.10456,              0.0326,            0.064781,            0.018054,           0.0071656,           0.0072775,           0.0072775,           0.0072775
                 112,             0.05049,            0.027664,           0.0030216,             0.26807,             0.23701,             0.14966,            0.044443,            0.068614,            0.014951,           0.0070244,           0.0072527,           0.0072527,           0.0072527
                 113,            0.051407,            0.027005,           0.0030452,              0.2162,             0.24948,             0.11769,            0.031563,            0.070521,            0.016394,           0.0098198,            0.007228,            0.007228,            0.007228
                 114,            0.050893,            0.025436,           0.0033966,             0.22948,             0.24168,             0.11334,            0.025404,            0.074601,              0.0157,            0.013428,           0.0072033,           0.0072033,           0.0072033
                 115,            0.050466,            0.026995,           0.0032075,             0.35367,             0.23025,             0.18021,            0.053336,            0.069554,            0.015305,           0.0055204,           0.0071785,           0.0071785,           0.0071785
                 116,            0.051079,            0.027894,           0.0031074,             0.32237,             0.28326,             0.16313,            0.037926,            0.066455,            0.016764,           0.0052948,           0.0071538,           0.0071538,           0.0071538
                 117,            0.051102,             0.02828,           0.0026977,             0.27385,             0.27752,             0.14649,            0.043445,            0.068017,            0.017395,           0.0060748,            0.007129,            0.007129,            0.007129
                 118,            0.049436,            0.026672,           0.0029799,             0.20514,             0.21206,             0.14892,            0.041346,            0.066208,            0.016605,           0.0069982,           0.0071042,           0.0071042,           0.0071042
                 119,            0.049033,            0.026624,           0.0028986,             0.20212,             0.19647,             0.10369,            0.026906,            0.070387,            0.016101,           0.0078206,           0.0070795,           0.0070795,           0.0070795
